Y,X,id,obstimeJST,type
36.502,139.619,nowc_20240807070500_20240807070500_liden_22,2024/08/07 16:00:30.910,1
38.877,140.964,nowc_20240807070500_20240807070500_liden_23,2024/08/07 16:00:38.110,0
38.966,141.026,nowc_20240807070500_20240807070500_liden_24,2024/08/07 16:00:38.110,0
39.312,141.435,nowc_20240807070500_20240807070500_liden_25,2024/08/07 16:00:38.530,0
36.709,139.707,nowc_20240807070500_20240807070500_liden_26,2024/08/07 16:00:38.780,1
35.025,138.077,nowc_20240807070500_20240807070500_liden_27,2024/08/07 16:00:39.430,1
35.092,138.17,nowc_20240807070500_20240807070500_liden_28,2024/08/07 16:00:39.430,0
35.041,138.095,nowc_20240807070500_20240807070500_liden_29,2024/08/07 16:00:39.430,1
35.698,138.623,nowc_20240807070500_20240807070500_liden_30,2024/08/07 16:00:40.600,0
36.662,139.723,nowc_20240807070500_20240807070500_liden_31,2024/08/07 16:00:43.080,1
36.673,139.716,nowc_20240807070500_20240807070500_liden_32,2024/08/07 16:00:43.650,1
37.319,139.884,nowc_20240807070500_20240807070500_liden_33,2024/08/07 16:00:44.510,1
37.254,139.865,nowc_20240807070500_20240807070500_liden_34,2024/08/07 16:00:44.750,0
37.072,140.015,nowc_20240807070500_20240807070500_liden_35,2024/08/07 16:00:44.940,0
38.247,140.124,nowc_20240807070500_20240807070500_liden_36,2024/08/07 16:00:46.230,1
38.177,140.066,nowc_20240807070500_20240807070500_liden_37,2024/08/07 16:00:46.340,1
40.31,140.764,nowc_20240807070500_20240807070500_liden_38,2024/08/07 16:00:46.930,0
36.811,139.489,nowc_20240807070500_20240807070500_liden_39,2024/08/07 16:00:47.670,0
35.671,138.601,nowc_20240807070500_20240807070500_liden_40,2024/08/07 16:00:48.610,0
38.324,140.417,nowc_20240807070500_20240807070500_liden_41,2024/08/07 16:00:50.740,0
35.63,138.614,nowc_20240807070500_20240807070500_liden_42,2024/08/07 16:00:55.340,0
